civ_type,civ_name,age,tradition_type,tradition_name,tradition_description,tradition_description_clean,modifier_id
CIVILIZATION_ABBASID,Abbasid,Antiquity,TRADITION_ABBASID_SYNCRETISM_ANTIQUITY,Rasool I,Buildings gain a +1 [icon:YIELD_HAPPINESS] Adjacency for the Palace.,Buildings gain a +1 Happiness Adjacency for the Palace.,MOD_UNLOCK_ABBASID_SYNCRETISM_ANTIQUITY
CIVILIZATION_ABBASID,Abbasid,Modern,TRADITION_ABBASID_SYNCRETISM_MODERN,Rasool II,Buildings gain a +1 [icon:YIELD_HAPPINESS] Adjacency for the City Hall and Palace.,Buildings gain a +1 Happiness Adjacency for the City Hall and Palace.,MOD_UNLOCK_ABBASID_SYNCRETISM_MODERN
CIVILIZATION_AKSUM,Aksum,Exploration,TRADITION_AKSUM_SYNCRETISM_EXPLORATION,Incense Road I,+1 [icon:YIELD_PRODUCTION] in the [icon:NOTIFICATION_SELECT_CAPITAL] [TIP:LOC_PEDIA_CONCEPTS_CAPITAL_TOOLTIP]Capital[/TIP] for every active [icon:TRADE_ROUTE] [TIP:LOC_PEDIA_CONCEPTS_TRADE_ROUTE_TOOLTIP]Trade Route[/TIP]. Trade Routes gain +2 [icon:Action_Showall] [TIP:LOC_PEDIA_CONCEPTS_SIGHT_TOOLTIP]Sight[/TIP] and cannot be [icon:Action_Pillage] Pillaged.,+1 Production in the Capital for every active Trade Route. Trade Routes gain +2 Sight and cannot be Pillaged.,MOD_UNLOCK_AKSUM_SYNCRETISM_EXPLORATION
CIVILIZATION_AKSUM,Aksum,Modern,TRADITION_AKSUM_SYNCRETISM_MODERN,Incense Road II,+2 [icon:YIELD_PRODUCTION] in the [icon:NOTIFICATION_SELECT_CAPITAL] [TIP:LOC_PEDIA_CONCEPTS_CAPITAL_TOOLTIP]Capital[/TIP] for every active [icon:TRADE_ROUTE] [TIP:LOC_PEDIA_CONCEPTS_TRADE_ROUTE_TOOLTIP]Trade Route[/TIP]. Trade Routes gain +2 [icon:Action_Showall] [TIP:LOC_PEDIA_CONCEPTS_SIGHT_TOOLTIP]Sight[/TIP] and cannot be [icon:Action_Pillage] Pillaged.,+2 Production in the Capital for every active Trade Route. Trade Routes gain +2 Sight and cannot be Pillaged.,MOD_UNLOCK_AKSUM_SYNCRETISM_MODERN
CIVILIZATION_AMERICA,America,Antiquity,TRADITION_AMERICA_SYNCRETISM_ANTIQUITY,Land of Opportunity I,+1 [icon:YIELD_FOOD] on [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCES_TOOLTIP]Resources[/TIP] in [icon:YIELD_TOWNS] [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Towns[/TIP].,+1 Food on Resources in Towns.,MOD_UNLOCK_AMERICA_SYNCRETISM_ANTIQUITY
CIVILIZATION_AMERICA,America,Exploration,TRADITION_AMERICA_SYNCRETISM_EXPLORATION,Land of Opportunity II,"+1 [icon:YIELD_FOOD] on [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCES_TOOLTIP]Resources[/TIP] in [icon:YIELD_TOWNS] [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Towns[/TIP]. +1 [icon:YIELD_PRODUCTION] on Mines, Clay Pits, Quarries, Woodcutters, and Oil Rigs in [icon:TOWN_FOCUS] Mining [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Towns[/TIP], [icon:YIELD_WAREHOUSE] Warehouse Bonus.","+1 Food on Resources in Towns. +1 Production on Mines, Clay Pits, Quarries, Woodcutters, and Oil Rigs in Mining Towns, Warehouse Bonus.",MOD_UNLOCK_AMERICA_SYNCRETISM_EXPLORATION
CIVILIZATION_ASSYRIA,Assyria,Exploration,TRADITION_ASSYRIA_SYNCRETISM_EXPLORATION,Ashur I,+5 [icon:NAR_REW_COMBAT] [TIP:LOC_PEDIA_CONCEPTS_COMBAT_STRENGTH_TOOLTIP]Combat Strength[/TIP] for Infantry and Cavalry Units when attacking [icon:CITY_FORTIFIED] [TIP:LOC_PEDIA_CONCEPTS_FORTIFIED_DISTRICTS_TOOLTIP]Fortified Districts[/TIP].,+5 Combat Strength for Infantry and Cavalry Units when attacking Fortified Districts.,MOD_UNLOCK_ASSYRIA_SYNCRETISM_EXPLORATION
CIVILIZATION_ASSYRIA,Assyria,Modern,TRADITION_ASSYRIA_SYNCRETISM_MODERN,Ashur II,+1 [icon:YIELD_SCIENCE] Science on [icon:CITY_FORTIFIED] Fortification Buildings. +5 [icon:NAR_REW_COMBAT] [TIP:LOC_PEDIA_CONCEPTS_COMBAT_STRENGTH_TOOLTIP]Combat Strength[/TIP] for Infantry and Cavalry Units when attacking [icon:CITY_FORTIFIED] [TIP:LOC_PEDIA_CONCEPTS_FORTIFIED_DISTRICTS_TOOLTIP]Fortified Districts[/TIP].,+1 Science on Fortification Buildings. +5 Combat Strength for Infantry and Cavalry Units when attacking Fortified Districts.,MOD_UNLOCK_ASSYRIA_SYNCRETISM_MODERN
CIVILIZATION_BUGANDA,Buganda,Antiquity,TRADITION_BUGANDA_SYNCRETISM_ANTIQUITY,Ebika I,+1 [icon:YIELD_CULTURE] and [icon:YIELD_FOOD] on [TIP:LOC_PEDIA_CONCEPTS_DISTRICT_TOOLTIP]Districts[/TIP] on or adjacent to Lakes.,+1 Culture and Food on Districts on or adjacent to Lakes.,MOD_UNLOCK_BUGANDA_SYNCRETISM_ANTIQUITY
CIVILIZATION_BUGANDA,Buganda,Exploration,TRADITION_BUGANDA_SYNCRETISM_EXPLORATION,Ebika II,+2 [icon:YIELD_CULTURE] and [icon:YIELD_FOOD] on [TIP:LOC_PEDIA_CONCEPTS_DISTRICT_TOOLTIP]Districts[/TIP] on or adjacent to Lakes.,+2 Culture and Food on Districts on or adjacent to Lakes.,MOD_UNLOCK_BUGANDA_SYNCRETISM_EXPLORATION
CIVILIZATION_BULGARIA,Bulgaria,Antiquity,TRADITION_BULGARIA_SYNCRETISM_ANTIQUITY,Uporitost I,+2 [icon:YIELD_PRODUCTION] Production on displayed [icon:NAR_REW_GREATWORK] Great Works.,+2 Production on displayed Great Works.,MOD_UNLOCK_BULGARIA_SYNCRETISM_ANTIQUITY
CIVILIZATION_BULGARIA,Bulgaria,Modern,TRADITION_BULGARIA_SYNCRETISM_MODERN,Uporitost II,+3 [icon:YIELD_PRODUCTION] Production on displayed [icon:NAR_REW_GREATWORK] Great Works. [TIP:LOC_PEDIA_CONCEPTS_LAND_UNITS_TOOLTIP]Land Units[/TIP] can [icon:Action_Pillage] Pillage for 1 [icon:Action_Move] Movement.,+3 Production on displayed Great Works. Land Units can Pillage for 1 Movement.,MOD_UNLOCK_BULGARIA_SYNCRETISM_MODERN
CIVILIZATION_CARTHAGE,Carthage,Exploration,TRADITION_CARTHAGE_SYNCRETISM_EXPLORATION,Hannoid Rule I,+1 [icon:YIELD_GOLD] Gold and [icon:YIELD_PRODUCTION] Production in the [icon:NOTIFICATION_SELECT_CAPITAL] [TIP:LOC_PEDIA_CONCEPTS_CAPITAL_TOOLTIP]Capital[/TIP] for every [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCES_TOOLTIP]Resource[/TIP] assigned to it.,+1 Gold and Production in the Capital for every Resource assigned to it.,MOD_UNLOCK_CARTHAGE_SYNCRETISM_EXPLORATION
CIVILIZATION_CARTHAGE,Carthage,Modern,TRADITION_CARTHAGE_SYNCRETISM_MODERN,Hannoid Rule II,+2 [icon:YIELD_GOLD] Gold and [icon:YIELD_PRODUCTION] Production in the [icon:NOTIFICATION_SELECT_CAPITAL] [TIP:LOC_PEDIA_CONCEPTS_CAPITAL_TOOLTIP]Capital[/TIP] for every [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCES_TOOLTIP]Resource[/TIP] assigned to it.,+2 Gold and Production in the Capital for every Resource assigned to it.,MOD_UNLOCK_CARTHAGE_SYNCRETISM_MODERN
CIVILIZATION_CHOLA,Chola,Antiquity,TRADITION_CHOLA_SYNCRETISM_ANTIQUITY,Veera Banaju Dharma I,+5 [icon:YIELD_DIPLOMACY] if you have 5 or more [icon:TRADE_ROUTE] [TIP:LOC_PEDIA_CONCEPTS_TRADE_ROUTE_TOOLTIP]Trade Routes[/TIP]. +50% [icon:YIELD_PRODUCTION] towards training [icon:UNIT_MERCHANT] Merchants.,+5 Influence if you have 5 or more Trade Routes. +50% Production towards training Merchants.,MOD_UNLOCK_CHOLA_SYNCRETISM_ANTIQUITY
