tradition_type,name,slot,description_raw,description_clean
TRADITION_ABBASID_SYNCRETISM_ANTIQUITY,Rasool I,Tradition,Buildings gain a +1 [icon:YIELD_HAPPINESS] Adjacency for the Palace.,Buildings gain a +1 Happiness Adjacency for the Palace.
TRADITION_ABBASID_SYNCRETISM_MODERN,Rasool II,Tradition,Buildings gain a +1 [icon:YIELD_HAPPINESS] Adjacency for the City Hall and Palace.,Buildings gain a +1 Happiness Adjacency for the City Hall and Palace.
TRADITION_AHUPUA_A_I,Ahupua'a I,Tradition,+4 [icon:YIELD_FOOD] Food on [icon:YIELD_CULTURE] Culture [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Buildings[/TIP].,+4 Food on Culture Buildings.
TRADITION_AHUPUA_A_II,Ahupua'a II,Tradition,+6 [icon:YIELD_FOOD] Food on [icon:YIELD_CULTURE] Culture [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Buildings[/TIP].,+6 Food on Culture Buildings.
TRADITION_AKHET_I,Akhet I,Tradition,+2 [icon:YIELD_FOOD] on [icon:CITY_RURAL] [TIP:LOC_PEDIA_CONCEPTS_IMPROVEMENT_TOOLTIP]Improvements[/TIP] and [icon:CITY_URBAN] [TIP:LOC_PEDIA_CONCEPTS_DISTRICT_TOOLTIP]Districts[/TIP] on [TIP:LOC_PEDIA_CONCEPTS_NAVIGABLE_RIVER_TOOLTIP]Navigable Rivers[/TIP].,+2 Food on Improvements and Districts on Navigable Rivers.
TRADITION_AKHET_II,Akhet II,Tradition,+3 [icon:YIELD_FOOD] on [icon:CITY_RURAL] [TIP:LOC_PEDIA_CONCEPTS_IMPROVEMENT_TOOLTIP]Improvements[/TIP] and [icon:CITY_URBAN] [TIP:LOC_PEDIA_CONCEPTS_DISTRICT_TOOLTIP]Districts[/TIP] on [TIP:LOC_PEDIA_CONCEPTS_NAVIGABLE_RIVER_TOOLTIP]Navigable Rivers[/TIP].,+3 Food on Improvements and Districts on Navigable Rivers.
TRADITION_AKSUM_SYNCRETISM_EXPLORATION,Incense Road I,Tradition,+1 [icon:YIELD_PRODUCTION] in the [icon:NOTIFICATION_SELECT_CAPITAL] [TIP:LOC_PEDIA_CONCEPTS_CAPITAL_TOOLTIP]Capital[/TIP] for every active [icon:TRADE_ROUTE] [TIP:LOC_PEDIA_CONCEPTS_TRADE_ROUTE_TOOLTIP]Trade Route[/TIP]. Trade Routes gain +2 [icon:Action_Showall] [TIP:LOC_PEDIA_CONCEPTS_SIGHT_TOOLTIP]Sight[/TIP] and cannot be [icon:Action_Pillage] Pillaged.,+1 Production in the Capital for every active Trade Route. Trade Routes gain +2 Sight and cannot be Pillaged.
TRADITION_AKSUM_SYNCRETISM_MODERN,Incense Road II,Tradition,+2 [icon:YIELD_PRODUCTION] in the [icon:NOTIFICATION_SELECT_CAPITAL] [TIP:LOC_PEDIA_CONCEPTS_CAPITAL_TOOLTIP]Capital[/TIP] for every active [icon:TRADE_ROUTE] [TIP:LOC_PEDIA_CONCEPTS_TRADE_ROUTE_TOOLTIP]Trade Route[/TIP]. Trade Routes gain +2 [icon:Action_Showall] [TIP:LOC_PEDIA_CONCEPTS_SIGHT_TOOLTIP]Sight[/TIP] and cannot be [icon:Action_Pillage] Pillaged.,+2 Production in the Capital for every active Trade Route. Trade Routes gain +2 Sight and cannot be Pillaged.
TRADITION_AMBASSADORS,Ambassadors,Policy,+6 [icon:YIELD_DIPLOMACY] per turn.,+6 Influence per turn.
TRADITION_AMBITIOUS_GOVERNORS,Ambitious Governors,Tradition,-6 [icon:YIELD_HAPPINESS] in [icon:YIELD_CITIES] [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP].,-6 Happiness in Cities.
