wonder_type,name,age,age_key,cost,description_raw,description_clean,tooltip_raw,tooltip_clean,yields,valid_terrains,valid_biomes,valid_features,required_features,placement_constraints,modifiers,max_world_instances,wiki_article_url,wiki_icon_file_url,fextralife_image_url
WONDER_ANGKOR_WAT,Angkor Wat,Antiquity,AGE_ANTIQUITY,450,+3 [icon:YIELD_HAPPINESS] Happiness. +1 [icon:SPECIALIST] [TIP:LOC_PEDIA_CONCEPTS_SPECIALIST_LIMIT_TOOLTIP]Specialist Limit[/TIP] in this [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlement[/TIP]. [TIP:LOC_PEDIA_CONCEPTS_AGELESS_TOOLTIP]Ageless[/TIP]. Must be placed adjacent to a River.,+3 Happiness. +1 Specialist Limit in this Settlement. Ageless. Must be placed adjacent to a River.,+1 [icon:SPECIALIST] [TIP:LOC_PEDIA_CONCEPTS_SPECIALIST_LIMIT_TOOLTIP]Specialist Limit[/TIP] in this [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlement[/TIP].[n]Must be placed adjacent to a River.,+1 Specialist Limit in this Settlement.Must be placed adjacent to a River.,+3 HAPPINESS,,,,,adj_river,MOD_ANGKOR_WAT_WORKER_CAP,1,https://civilization.fandom.com/wiki/Angkor_Wat_(Civ7),https://civilization.fandom.com/wiki/File:Angkor_Wat_(Civ7).png,https://static0.fextralifeimages.com/file/civ7/1/1b/Angkor-wat-wonder-civ-7-wiki-guide.png
WONDER_BYRSA,Byrsa,Antiquity,AGE_ANTIQUITY,375,+2 [icon:YIELD_GOLD] Gold. [icon:TRADE_ROUTE] [TIP:LOC_PEDIA_CONCEPTS_TRADE_ROUTE_TOOLTIP]Trade Routes[/TIP] cannot be [icon:Action_Pillage] Plundered. All [icon:CITY_URBAN] [TIP:LOC_PEDIA_CONCEPTS_DISTRICT_TOOLTIP]Districts[/TIP] in this [icon:YIELD_CITIES] [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]City[/TIP] that are adjacent to Coast and eligible for Walls receive a [TIP:LOC_PEDIA_CONCEPTS_WALL_TOOLTIP]Wall[/TIP]. [TIP:LOC_PEDIA_CONCEPTS_AGELESS_TOOLTIP]Ageless[/TIP]. Must be placed adjacent to Coast.,+2 Gold. Trade Routes cannot be Plundered. All Districts in this City that are adjacent to Coast and eligible for Walls receive a Wall. Ageless. Must be placed adjacent to Coast.,[icon:TRADE_ROUTE] [TIP:LOC_PEDIA_CONCEPTS_TRADE_ROUTE_TOOLTIP]Trade Routes[/TIP] cannot be [icon:Action_Pillage] Plundered. All [icon:CITY_URBAN] [TIP:LOC_PEDIA_CONCEPTS_DISTRICT_TOOLTIP]Districts[/TIP] in this [icon:YIELD_CITIES] [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]City[/TIP] that are adjacent to Coast and eligible for [TIP:LOC_PEDIA_CONCEPTS_WALL_TOOLTIP]Walls[/TIP] receive a [TIP:LOC_PEDIA_CONCEPTS_WALL_TOOLTIP]Wall[/TIP].[N]Must be placed adjacent to Coast.,Trade Routes cannot be Plundered. All Districts in this City that are adjacent to Coast and eligible for Walls receive a Wall.Must be placed adjacent to Coast.,+2 GOLD,,,,,,MOD_BYRSA_TRADE_ROUTE_PROTECTION; MOD_BYRSA_WALLS,1,https://civilization.fandom.com/wiki/Byrsa_(Civ7),https://civilization.fandom.com/wiki/File:Byrsa_(Civ7).png,
WONDER_COLOSSEUM,Colosseum,Antiquity,AGE_ANTIQUITY,450,+3 [icon:YIELD_CULTURE] Culture. +1 [icon:YIELD_HAPPINESS] Happiness and [icon:YIELD_GOLD] Gold on [icon:CITY_UNIQUE_QUARTER] [TIP:LOC_PEDIA_CONCEPTS_DISTRICT_TOOLTIP]Quarters[/TIP] in this [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlement[/TIP]. [TIP:LOC_PEDIA_CONCEPTS_AGELESS_TOOLTIP]Ageless[/TIP]. Must be placed adjacent to a [TIP:LOC_PEDIA_CONCEPTS_DISTRICT_TOOLTIP]District[/TIP].,+3 Culture. +1 Happiness and Gold on Quarters in this Settlement. Ageless. Must be placed adjacent to a District.,+1 [icon:YIELD_HAPPINESS] Happiness and [icon:YIELD_GOLD] Gold on [icon:CITY_UNIQUE_QUARTER] [TIP:LOC_PEDIA_CONCEPTS_DISTRICT_TOOLTIP]Quarters[/TIP] in this [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlement[/TIP].[n] Must be placed adjacent to a [TIP:LOC_PEDIA_CONCEPTS_DISTRICT_TOOLTIP]District[/TIP].,+1 Happiness and Gold on Quarters in this Settlement. Must be placed adjacent to a District.,+3 CULTURE,,,,,adj_district:DISTRICT_URBAN,MOD_COLOSSEUM_URBAN_GOLD; MOD_COLOSSEUM_URBAN_HAPPINESS,1,https://civilization.fandom.com/wiki/Colosseum_(Civ7),https://civilization.fandom.com/wiki/File:Colosseum_(Civ7).png,
WONDER_COLOSSUS,Colossus,Antiquity,AGE_ANTIQUITY,375,+3 [icon:YIELD_GOLD] Gold. +3 [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCE_CAPACITY_TOOLTIP]Resource Capacity[/TIP] in this [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlement[/TIP]. +1 [icon:ATTRIBUTE_ECONOMIC] Economic [TIP:LOC_PEDIA_CONCEPTS_ATTRIBUTE_TOOLTIP]Attribute[/TIP] Point. [TIP:LOC_PEDIA_CONCEPTS_AGELESS_TOOLTIP]Ageless[/TIP]. Must be placed on Coast adjacent to land.,+3 Gold. +3 Resource Capacity in this Settlement. +1 Economic Attribute Point. Ageless. Must be placed on Coast adjacent to land.,+3 [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCE_CAPACITY_TOOLTIP]Resource Capacity[/TIP] in this [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlement[/TIP]. +1 [icon:ATTRIBUTE_ECONOMIC] Economic [TIP:LOC_PEDIA_CONCEPTS_ATTRIBUTE_TOOLTIP]Attribute[/TIP] Point.[n]Must be placed on Coast adjacent to land.,+3 Resource Capacity in this Settlement. +1 Economic Attribute Point.Must be placed on Coast adjacent to land.,+3 GOLD,COAST,,,,terrain:COAST; adj_land,MOD_COLOSSUS_ECONOMIC_ATTRIBUTE; MOD_COLOSSUS_RESOURCE_CAP,1,https://civilization.fandom.com/wiki/Colossus_(Civ7),https://civilization.fandom.com/wiki/File:Colossus_(Civ7).png,
WONDER_DUR_SHARRUKIN,Dur-Sharrukin,Antiquity,AGE_ANTIQUITY,275,+1 [icon:YIELD_SCIENCE] Science on [icon:CITY_FORTIFIED] Fortifications in this [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlement[/TIP]. +5 [icon:NAR_REW_COMBAT] [TIP:LOC_PEDIA_CONCEPTS_COMBAT_STRENGTH_TOOLTIP]Combat Strength[/TIP] for [icon:CITY_FORTIFIED] [TIP:LOC_PEDIA_CONCEPTS_FORTIFIED_DISTRICTS_TOOLTIP]Fortified Districts[/TIP] in all Settlements. Acts as a [icon:CITY_FORTIFIED] Fortified District that must be conquered. [TIP:LOC_PEDIA_CONCEPTS_AGELESS_TOOLTIP]Ageless[/TIP]. Must be placed adjacent to a [TIP:LOC_PEDIA_CONCEPTS_DISTRICT_TOOLTIP]District[/TIP].,+1 Science on Fortifications in this Settlement. +5 Combat Strength for Fortified Districts in all Settlements. Acts as a Fortified District that must be conquered. Ageless. Must be placed adjacent to a District.,+1 [icon:YIELD_SCIENCE] Science on [icon:CITY_FORTIFIED] Fortifications in this [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlement[/TIP]. +5 [icon:NAR_REW_COMBAT] [TIP:LOC_PEDIA_CONCEPTS_COMBAT_STRENGTH_TOOLTIP]Combat Strength[/TIP] for [icon:CITY_FORTIFIED] [TIP:LOC_PEDIA_CONCEPTS_FORTIFIED_DISTRICTS_TOOLTIP]Fortified Districts[/TIP] in all Settlements. Acts as a [icon:CITY_FORTIFIED] Fortified District that must be conquered.[n]Must be placed adjacent to a [TIP:LOC_PEDIA_CONCEPTS_DISTRICT_TOOLTIP]District[/TIP].,+1 Science on Fortifications in this Settlement. +5 Combat Strength for Fortified Districts in all Settlements. Acts as a Fortified District that must be conquered.Must be placed adjacent to a District.,,,,,,adj_district:DISTRICT_URBAN,MOD_DUR_SHARRUKIN_FORTIFICATION_SCIENCE; MOD_DUR_SHARRUKIN_WALL_COMBAT_STRENGTH,1,https://civilization.fandom.com/wiki/Dur-Sharrukin_(Civ7),https://civilization.fandom.com/wiki/File:Dur-Sharrukin_(Civ7).png,
WONDER_EMILE_BELL,Emile Bell,Antiquity,AGE_ANTIQUITY,375,+2 [icon:YIELD_DIPLOMACY] Influence. Gain a unique [icon:ENDEAVOR] Diplomatic [TIP:LOC_PEDIA_CONCEPTS_ENDEAVOR_TOOLTIP]Endeavor[/TIP] called Ginseng Agreement that grants [icon:YIELD_FOOD] Food to both Leaders' [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP]. +1 [icon:ATTRIBUTE_POLITICAL] Diplomatic [TIP:LOC_PEDIA_CONCEPTS_ATTRIBUTE_TOOLTIP]Attribute[/TIP] Point. [TIP:LOC_PEDIA_CONCEPTS_AGELESS_TOOLTIP]Ageless[/TIP]. Must be placed on [TIP:LOC_PEDIA_CONCEPTS_ROUGH_TERRAIN_TOOLTIP]Rough Terrain[/TIP].,+2 Influence. Gain a unique Diplomatic Endeavor called Ginseng Agreement that grants Food to both Leaders' Cities. +1 Diplomatic Attribute Point. Ageless. Must be placed on Rough Terrain.,Gain a unique [icon:ENDEAVOR] Diplomatic [TIP:LOC_PEDIA_CONCEPTS_ENDEAVOR_TOOLTIP]Endeavor[/TIP] called Ginseng Agreement that grants [icon:YIELD_FOOD] Food to both Leaders' [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP]. +1 [icon:ATTRIBUTE_POLITICAL] Diplomatic [TIP:LOC_PEDIA_CONCEPTS_ATTRIBUTE_TOOLTIP]Attribute[/TIP] Point.[n]Must be placed on [TIP:LOC_PEDIA_CONCEPTS_ROUGH_TERRAIN_TOOLTIP]Rough Terrain[/TIP].,Gain a unique Diplomatic Endeavor called Ginseng Agreement that grants Food to both Leaders' Cities. +1 Diplomatic Attribute Point.Must be placed on Rough Terrain.,+2 DIPLOMACY,HILL,,,,terrain:HILL,MOD_EMILE_BELL_DIPLOMATIC_ACTION; MOD_EMILE_BELL_POLITICAL_ATTRIBUTE,1,https://civilization.fandom.com/wiki/Emile_Bell_(Civ7),https://civilization.fandom.com/wiki/File:Emile_Bell_(Civ7).png,
WONDER_GATE_OF_ALL_NATIONS,Gate of All Nations,Antiquity,AGE_ANTIQUITY,275,+2 [icon:YIELD_HAPPINESS] Happiness. +1 [icon:WAR_SUPPORT] [TIP:LOC_PEDIA_CONCEPTS_WAR_SUPPORT_TOOLTIP]War Support[/TIP] on all [icon:WAR] Wars. [TIP:LOC_PEDIA_CONCEPTS_AGELESS_TOOLTIP]Ageless[/TIP]. Must be placed adjacent to a [TIP:LOC_PEDIA_CONCEPTS_DISTRICT_TOOLTIP]District[/TIP].,+2 Happiness. +1 War Support on all Wars. Ageless. Must be placed adjacent to a District.,+1 [icon:WAR_SUPPORT] [TIP:LOC_PEDIA_CONCEPTS_WAR_SUPPORT_TOOLTIP]War Support[/TIP] on all wars.[n]Must be placed adjacent to a [TIP:LOC_PEDIA_CONCEPTS_DISTRICT_TOOLTIP]District[/TIP].,+1 War Support on all wars.Must be placed adjacent to a District.,+2 HAPPINESS,,,,,adj_district:DISTRICT_URBAN,MOD_GATE_OF_ALL_NATIONS_WAR_SUPPORT,1,https://civilization.fandom.com/wiki/Gate_of_All_Nations_(Civ7),https://civilization.fandom.com/wiki/File:Gate_of_All_Nations_(Civ7).png,
WONDER_GREAT_LIBRARY,Great Library,Antiquity,AGE_ANTIQUITY,375,+4 [icon:YIELD_SCIENCE] Science. +1 [icon:YIELD_SCIENCE] Science on [icon:CITY_BUILDING_LIST] Science [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Buildings[/TIP] across your Empire. Has 3 [TIP:LOC_PEDIA_CONCEPTS_GREAT_WORKS_TOOLTIP]Great Work[/TIP] Slots. +3 [icon:SCIENCE_VP] Innovation. [TIP:LOC_PEDIA_CONCEPTS_AGELESS_TOOLTIP]Ageless[/TIP]. Must be placed adjacent to a [TIP:LOC_PEDIA_CONCEPTS_DISTRICT_TOOLTIP]District[/TIP].,+4 Science. +1 Science on Science Buildings across your Empire. Has 3 Great Work Slots. +3 Innovation. Ageless. Must be placed adjacent to a District.,+1 [icon:YIELD_SCIENCE] Science on [icon:CITY_BUILDING_LIST] Science [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Buildings[/TIP] across your Empire. Has 3 [TIP:LOC_PEDIA_CONCEPTS_GREAT_WORKS_TOOLTIP]Great Work[/TIP] Slots. +3 [icon:SCIENCE_VP] Innovation. [n]Must be placed adjacent to a [TIP:LOC_PEDIA_CONCEPTS_DISTRICT_TOOLTIP]District[/TIP].,+1 Science on Science Buildings across your Empire. Has 3 Great Work Slots. +3 Innovation. Must be placed adjacent to a District.,+4 SCIENCE,,,,,adj_district:DISTRICT_URBAN,MOD_GREAT_LIBRARY_SCIENCE_ON_SCIENCE_BUILDING_EMPIRE; MOD_GREAT_LIBRARY_SCIENCE_VP,1,https://civilization.fandom.com/wiki/Great_Library_(Civ7),https://civilization.fandom.com/wiki/File:Great_Library_(Civ7).png,
WONDER_GREAT_LIGHTHOUSE,Great Lighthouse,Antiquity,AGE_ANTIQUITY,275,+3 [icon:YIELD_GOLD] Gold. Receive a free [icon:UNIT_MERCHANT] Merchant when constructed. +15 [icon:TRADE_ROUTE] Naval [TIP:LOC_PEDIA_CONCEPTS_TRADE_ROUTE_TOOLTIP]Trade Route[/TIP] Range in all [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlements[/TIP]. +1 [icon:Action_Showall] [TIP:LOC_PEDIA_CONCEPTS_SIGHT_TOOLTIP]Sight[/TIP] to all [TIP:LOC_PEDIA_CONCEPTS_NAVAL_UNITS_TOOLTIP]Naval Units[/TIP]. Ageless. Must be placed on Coast adjacent to land.,+3 Gold. Receive a free Merchant when constructed. +15 Naval Trade Route Range in all Settlements. +1 Sight to all Naval Units. Ageless. Must be placed on Coast adjacent to land.,Receive a free [icon:UNIT_MERCHANT] Merchant when constructed. +15 [icon:TRADE_ROUTE] Naval [TIP:LOC_PEDIA_CONCEPTS_TRADE_ROUTE_TOOLTIP]Trade Route[/TIP] Range in all [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlements[/TIP]. +1 [icon:Action_Showall] [TIP:LOC_PEDIA_CONCEPTS_SIGHT_TOOLTIP]Sight[/TIP] to all [TIP:LOC_PEDIA_CONCEPTS_NAVAL_UNITS_TOOLTIP]Naval Units[/TIP].[N]Must be placed on Coast adjacent to land.,Receive a free Merchant when constructed. +15 Naval Trade Route Range in all Settlements. +1 Sight to all Naval Units.Must be placed on Coast adjacent to land.,+3 GOLD,COAST,,,,terrain:COAST,MOD_GREAT_LIGHTHOUSE_MERCHANT; MOD_GREAT_LIGHTHOUSE_SIGHT; MOD_GREAT_LIGHTHOUSE_TRADE_ROUTE_RANGE,1,https://civilization.fandom.com/wiki/Great_Lighthouse_(Civ7),https://civilization.fandom.com/wiki/File:Great_Lighthouse_(Civ7).png,
WONDER_GREAT_STELE,Great Stele,Antiquity,AGE_ANTIQUITY,275,"+2 [icon:YIELD_PRODUCTION] Production. Gain 200 [icon:YIELD_GOLD] Gold per [TIP:LOC_PEDIA_CONCEPTS_AGE_TOOLTIP]Age[/TIP] when you construct a [icon:WONDER] [TIP:LOC_PEDIA_CONCEPTS_WONDERS_TOOLTIP]Wonder[/TIP], including this one. [TIP:LOC_PEDIA_CONCEPTS_AGELESS_TOOLTIP]Ageless[/TIP]. Must be placed on [TIP:LOC_PEDIA_CONCEPTS_FLAT_TERRAIN_TOOLTIP]Flat Terrain[/TIP].","+2 Production. Gain 200 Gold per Age when you construct a Wonder, including this one. Ageless. Must be placed on Flat Terrain.","Gain 200 [icon:YIELD_GOLD] Gold per [TIP:LOC_PEDIA_CONCEPTS_AGE_TOOLTIP]Age[/TIP] when you construct a [icon:WONDER] [TIP:LOC_PEDIA_CONCEPTS_WONDERS_TOOLTIP]Wonder[/TIP], including this one.[n]Must be placed on [TIP:LOC_PEDIA_CONCEPTS_FLAT_TERRAIN_TOOLTIP]Flat Terrain[/TIP].","Gain 200 Gold per Age when you construct a Wonder, including this one.Must be placed on Flat Terrain.",+2 PRODUCTION,FLAT,,,,terrain:FLAT,MOD_GREAT_STELE_GOLD_ON_WONDER_CREATED,1,https://civilization.fandom.com/wiki/Great_Stele_(Civ7),https://civilization.fandom.com/wiki/File:Great_Stele_(Civ7).png,
